Name,Artist,Topic,Lyrics
Cumshot,Cupcakke,Sexually Explicit,"For 10.99 you can hit it from behind Video me giving you head that's Facetime (Ha, ha, ha) Murder my pussy without the gunshot Just shoot me up my ass crack with a cum shot Sore out my body like pilates, boy don't stop Just cover all my gums up with a cum shot Cum shot, cum shot In my crotch, my crotch (Cum shot, cum shot In my crotch, my crotch) Do anything that you say bae, you ain't gotta wait bae Place a lot of nut inside my mouth like a Payday Sex never get old it will never expire Pussy worked it so hard it might need to retire Coochie fat as fuck it weigh like 50 pounds I bent this thing over like I took a bow Dick in my pum pum may get lost and drown Niggas get in this pussy and lose in lost and found Now you wanna act like you starstruck Pussy woke you up like some Starbucks I give you so much head even though you love ass That yo pubic hair starting to make me a mustache But that's some other shit, this pussy smother dick BET where the fuck my award for sucking dick? I like the way you stroking it daddy keep focusing You the first to come inside like this pussy the grand opening Murder my pussy without the gunshot Just shoot me up my ass crack with a cum shot Sore out my body like pilates, boy don't stop Just cover all my gums up with a cum shot Cum shot, cum shot In my crotch, my crotch (Cum shot, cum shot In my crotch, my crotch) I'm more happy than a happy meal those jaws work Celebrity with a wet pussy call that Starburst Can I measure it with a ruler, papi chulo? Hit a split on that dick in the back of the Uber Pussy bust open like I'm going in labor The coochie to the booty it got different flavors Anytime I wanna make my ass smack on yo cock You better pop up out the blue like Jack in the Box I'm frisky I might give that dick a hickey If sucking dick was a drug I'm overdosing like Whitney Drop it in my kitty let me feel it in my kidney Yo pants full of dick so we calling em Dickies I fuck niggas and get fucked without a ring Pussy taste like pork chops and sour cream Place you in a dream once I give you this sample Then I model yo sperm just call me Naomi Campbell Murder my pussy without the gunshot Just shoot me up my ass crack with a cum shot Sore out my body like pilates, boy don't stop Just cover all my gums up with a cum shot Cum shot, cum shot In my crotch, my crotch (Cum shot, cum shot In my crotch, my crotch) Yo balls sagging, I'm gagging and its taking my oxygen Suck it so good have you shocker than Chaka Khan Whoa, whoa minute man that's a no no Buy me gifts than I turn into yo ho ho What's the rush? Can I douche or do you want a stank twat? Pussy dripping on that dick like a raindrop Wanted the big dick until you made me face it Dick was so hard it broke my tooth I need braces How can a nigga ever hate this pussy? I walk into the barber like ""shave this pussy"" I took off my shorts, long story short (oh yeah) That nigga ate this pussy! Fuck every hole on my body that's including my ear Keep my panties when you done as a souvenir Freakiest girl in the world if you wanna get technical Don't test me unless its with your testicles Taking trips, I'm skinny dippin and then let's fuck in McDonalds Caramel Frappe full of cum boy you know that's the motto I understand you get aroused when my cookies slip I wear my Kylie Jenner lipstick on my pussy lips On my pussy lips, on my pussy lips I understand you get aroused when my cookies slip I wear my Kylie Jenner lipstick on my pussy lips"
Magic Stick,Lil' Kim,Sexually Explicit,"I got the magic stick I know if I can hit once, I can hit twice I hit the baddest chicks Shorty don't believe me, then come with me tonight And I'll show you maaagic (What? What?) Maaagic I got the magic stick I'm a freak to the core Get a dose once, you goin' want some more My tongue touch ya girl, ya toes bound to curl This exclusive shit I don't share with the world I have you up early in the mornin', moanin' Back shot, proper or low can't stop us Been a fiend for this since Rakim made hits Get the position down pat, then it's time to switch I'll rock the boat, I'll work the middle I skeet it up, straight beat it up.. ... And I ain't in the hood with my toast out loc'n I'm in the telly workin' up a sweat strokin' Tonight's the night, you can fall in love You can call your mama right now, tell her you met a thug I pop a lot of shit cause I can back it up My left stroke's the death stroke I got the magic clit I'm on fire, lick once, I get licked twice I am the baddest chick Shorty you don't believe me, then come with me tonight And I'll show you maaagic (What? What?) Maaagic, uh-huh uh-huh I got the magic clit Lil' Kim not a whore But I sex a nigga so good, he gotta tell his boys When it, come to sex don't test my skills 'Cause my head game have you HEAD over heels Give a nigga the chills, have him pay my bills Buy matchin' Lambo's with the same color wheels ... And I ain't out shoppin' spendin' dudes see-notes I'm in the crib givin' niggaz deep throat Tonight Lil' Kim goin' have you in the zone Girls, call ya crib, I'm answerin' the phone Guys want to wife me and give me the ring I'll do it anywhere, anyhow, I'm down for anything Couple of humps, give a nigga goosebumps This junk in my trunk ain't made for chumps When Lil' Kim's around you don't need to lie It's the ""Drugs"" baby, I'm makin' ya HIGH!! I got the magic stick I know if I can hit once, I can hit twice (I am the baddest chick) (Shorty you don't believe me, then come with me tonight) (And I'll show you maaagic - what? What?) Maaagic (uh-huh, uh-huh) (I got the magic clit)"
Deepthroat,Cupcakke,Sexually Explicit,"Hump me, fuck me Daddy better make me choke (You better) Hump me, fuck me My tunnel loves to deep throat (It do) Lick, lick, lick, lick (I lick it) I want to eat yo' dick (I do) But I can't fuck up my nails (I can't) So I'ma pick it up with chopsticks Mouth wide open, mouth wide open Mouth wide open like I was at the dentist Mouth wide open, mouth wide open Put it so deep, I can't speak a sentence Mouth wide open (Ah), mouth wide open (Ah) Mouth wide open like I was at the dentist Mouth wide open (Ah), mouth wide open (Ah) Put it so deep, I can't speak a sentence My fingers in it, gentle (Yeah) Explore this nigga mental I'ma write my name on his dick (His dick) Don't need a pen or a pencil (No, I don't) All I need is my body (My body) My pussy pink just like salami (Ooh) Don't need no drink to get naughty (No) 'Cause bitch, I'm not Bill Cosby (I'm not) My pussy mean, and it's clean (It is) I'm not a squirter, I cream (Squirts girl) Keep it smelling like baby wipes I never smell like sardines (Ew) This will never fucking end (It won't) Ballerina that dick when I spin (I do it) I fucked this nigga so good I ain't swallow one kid, I think I swallowed twins (Ah) Hump me, fuck me Daddy better make me choke (You better) Hump me, fuck me My tunnel loves to deep throat (It do) Lick, lick, lick, lick (I lick it) I want to eat yo' dick (I do) But I can't fuck up my nails (I can't) So I'ma pick it up with chopsticks Mouth wide open, mouth wide open Mouth wide open like I was at the dentist Mouth wide open, mouth wide open Put it so deep, I can't speak a sentence Mouth wide open (Ah), mouth wide open (Ah) Mouth wide open like I was at the dentist Mouth wide open (Ah), mouth wide open (Ah) Put it so deep I can't speak a sentence Just come put it down my butt (My butt) Let's shoot a movie, no cuts Ride the dick, get my nipples licked That's breastfeeding while we fuck (Sexy) Finna get the dick wet and firm (Firm) You better sweat me out of my perm (My perm) Can't wait 'til it's my turn I wanna blow bubbles with sperm Wanna hit it from the back Let me arch my back Once I arch my back That mean attack this pussy Don't need a porn star 'Cause I'm the moderin' All my spit on his dick Sound like I'm gargling Make him bust three nuts, is the test (Ah) My panties stuck in my ass (Ah) So I pulled them down to show him the pearl Made his pubic hairs curl fast Fuck this pussy Fuck this pussy Fuck this pussy Come fuck this pussy Fuck this pussy Fuck this pussy Fuck this pussy Come fuck this pussy"
Thirsty ,Good Girl,Sexually Explicit,"Bitch, these niggas so thirsty (whatchu doin'?) (Oh, whatchu doin' ho? Whatchu doin'?) Never fuck a sucker nigga in my life (No, no, no, no! Hell nah, hell nah, hell nah!) Bitch, these niggas so thirsty (whatchu doin'?) (Oh, whatchu doin' ho? Whatchu doin'?) With this attitude, I'll never be your wife (No, no, no, no! Hell nah, hell nah, hell nah!) All these niggas so thirsty (Oh, whatchu doin' ho? Whatchu doin'?) Never fuck a sucker nigga in my life (No, no, no, no! Hell nah, hell nah, hell nah!) All these niggas so thirsty (Oh, whatchu doin' ho? Whatchu doin'?) With this attitude, I'll never be your wife (No, no, no, no! Hell nah, hell nah, hell nah!) I'ma do you bad, I don't play it nice I'ma do you bad, don't make me say it twice You want it bad, I know that's what you like I'ma make you miss it, don't make you make a plan You got me chopped Boy, you stupid if you think you finna pop All that goofy shit you doin', nigga stop Oh, you a hot boy, but I just cop boy And I just drove this motherfucker off the lot Boy, you hyped and I don't blame you I'm the baddest in the game All real, nothing fake about me All these titties, all this ass Get it from my momma, yeah And they all want a bitch like me All these niggas so thirsty (Oh, whatchu doin' ho? Whatchu doin'?) Never fuck a sucker nigga in my life (No, no, no, no! Hell nah, hell nah, hell nah!) All these niggas so thirsty (Whatchu doin'?) With this attitude, I'll never be your wife (No, no, no, no! Hell nah, hell nah, hell nah!) I'm shittin' on my ex-nigga whole life He won't get the chance to fuck me over twice Real boss bitch, I can't be his housewife Fuck I look like? Play with me, you playing with your life I'ma walk him with his dog ass He won't get a callback Make a nigga come up out his pockets Then I fall back Bitch, I know I'm all that Every angle, all ass Good girl, pussy mean Fuck around and talk back Man these niggas so goddamn thirsty Body right, they in the comments like, ""Drop your surgeon"" Fat on the 'gram, but look fatter in person An independent bitch could make a bum nigga nervous All these niggas so thirsty (Whatchu doin'?) Never fuck a sucker nigga in my life (No, no, no, no! Hell nah, hell nah, hell nah!) Bitch, these niggas so thirsty (Oh, whatchu doin' ho? Whatchu doin'?) With this attitude, I'll never be your wife (No, no, no, no! Hell nah, hell nah, hell nah!) I ain't crying 'bout what I did before Just gon' get higher when I'm feeling low I ain't crying, crying 'bout what I did before Just gon' get higher when I'm feeling low, yuh!"
Bitch from Da Soug,Mulatto,Sexually Explicit,"I throw that ass back to see if he gon' catch it Ain't athletic but it's tennis for the necklace, yeah Ayy where that cash at, I stack it like Tetris Real gutter bitch, real plugs and connections First I make him eat it 'til he lockjaw Give it to him good, knock a nigga socks off, uh I run it up, they busy runnin' they mouth I'm a real ass, rich ass, bitch from the South, yeah, yeah Bitches getting bust down for a bust down I don't move if they ain't payin' like some bus fare Know that the promoter cut the check if I was there Bitches got a problem, line 'em up like I cut hair I need it paid in full like Keisha Rappers in my DM I ain't fuckin' for a feature Aretha with them Franklins I'm getting money, I can't meet ya Ran down on a bitch, all a sudden she got amnesia I throw that ass back to see if he gon' catch it Ain't athletic but it's tennis for the necklace, yeah Ayy where that cash at, I stack it like Tetris Real gutter bitch, real plugs and connections First I make him eat it 'til he lockjaw Give it to him good, knock a nigga socks off, uh I run it up, they busy runnin' they mouth I'm a real ass, rich ass, bitch from the South, yeah, yeah These niggas know that I'm a keeper And I got that KO, I'ma fuck around and sleep 'em Chopper sing like Aretha, might cost your life to meet her Pop the trunks in that bitch, runnin' home, Derek Jeter Shit ain't sweet, I just dropped a bag on my teeth He put Fendi all on my feet, I leave stains all in his sheets He know better than to fuck around, no bitch fucking with me I won't hesitate to get a bitch gone ASAP, no Rocky I throw that ass back to see if he gon' catch it Ain't athletic but it's tennis for the necklace, yeah Ayy where that cash at, I stack it like Tetris Real gutter bitch, real plugs and connections First I make him eat it 'til he lockjaw Give it to him good, knock a nigga socks off, uh I run it up, they busy runnin' they mouth I'm a real ass, rich ass, bitch from the South (yeah) I run it up, they busy runnin' they mouth I'm a real ass, rich ass, bitch from the South"
Muwop,Mulatto,Sexually Explicit,"I'm a Freek-A-Leek (oh) But I can't let a broke nigga beat (no) Know we from the streets (yeah) So when you see me nigga don't speak (shh) Put 'em straight to sleep I don't sell pussy but this ain't cheap (on God) Abracadabra, got rappers and trappers Yeah, I got some tricks up my sleeve (woo) Drama? I'm with the shits You want a problem? Mo wanna hit Old hoe-ass, trick-ass, ready-to-snitch-ass, simp-ass, weak-ass-bitch (bitch) My DM is flooded, my AP is flooded Still wet his bitch out with the stick (grrrah) Don't give a fuck, I'm runnin' it up Big Latto, I pop my shit (yeah) 'Cause I'm a very freaky girl (yeah) Get it from my mama (yeah) I'm not with the games (nah) I'm with all the drama (yeah) Make him give me brain in the front seat of the Hummer (Hummer) Make him give me brain in the front seat of the Hummer (ayy, yeah, yeah) 'Cause I'm a very freaky girl (girl) Get it from my mama (mama) I'm not with the games (games) I'm with all the drama (drama) Make him give me brain in the front seat of the Hummer (Hummer) Make him give me brain in the front seat of the Hummer (ayy, yeah, yeah) I look good-good Bitch I'm fine-fine (fine-fine) Make him give me brain, make him give me Einstein I walked in the meetin' label, seen a dollar sign (cash) It took a couple M's for me to sign the dotted line Slim waist with a booty This nigga dumb if he lose me (yeah) This boy think I love him, bitch I'm Big Latto not Suzie (bitch, yeah) Film him eatin' this coochie (oh), I swear my life is a movie (oh) Walked on nasty with Boosie, and now I got one with Gucci (wop) 'Cause I'm a very freaky girl (yeah) Get it from my mama (yeah) I'm not with the games (nah) I'm with all the drama (yeah) Make him give me brain in the front seat of the Hummer (Hummer) Make him give me brain in the front seat of the Hummer (ayy, yeah, yeah) 'Cause I'm a very freaky girl (girl) Get it from my mama (mama) I'm not with the games (games) I'm with all the drama (drama) Make him give me brain in the front seat of the Hummer (Hummer) Make him give me brain in the front seat of the Hummer (ayy, yeah, yeah) First, I take off her bra, she like to fuck in the car I just shot up the club, that mean I'm fuckin' her raw When your bitch seen me, she fell in love on the spot Don't wear your heart on the sleeve, don't put no trust in no thot (no) I'm a crazy ass nigga, got a bipolar temper Go to sleep with my pistol Go to war 'bout my sister I would fix my bitch body, but she was fine already Tried to sign Mulatto but she was signed already (well, damn) Chopsticks like Karreuche I'ma film, make a movie Sick and tired of Big Gucci Couldn't retire for Gucci Can't expire, work for hire, favorite rapper is Gucci Favorite trapper is Gucci I'm a legend like Tookie Opposite of John Legend, I touch keys with no music Ask ""How I know it's a hit?"" (skrr, skrr, skrr) Because J. White just produced it (skrr, skrr, skrr) Favorite gun is the Uzi, favorite rapper is Gucci Favorite trapper is Gucci I'ma film, this a movie 'Cause I'm a very freaky girl (girl) Get it from my mama (mama) I'm not with the games (games) I'm with all the drama (drama) Make him give me brain in the front seat of the Hummer (Hummer) Make him give me brain in the front seat of the Hummer (ayy, yeah, yeah) 'Cause I'm a very freaky girl (girl) Get it from my mama (mama) I'm not with the games (games) I'm with all the drama (drama) Make him give me brain in the front seat of the Hummer (Hummer) Make him give me brain in the front seat of the Hummer (ayy, yeah, yeah)"
Crybaby,Megan Thee Stallion,Sexually Explicit,"Real hot girl shit (D.a. Got that dope) Her friends and mom hate me (go) Lay down on the bed, do the crybaby (mmm) She ain't gave me none of that pussy in a while She had the boy waitin', I don't mind waitin' (come here) Oh, you ain't gon' respond to my texts? (Oh, yeah?) Want me keep on my diamonds, we sex? (What's your name?) Keisha? (Kei), Jasmine? (Jas), Kiera? Megan? (Go) Lisa? Ashley? (Ashley), Sierra? Sarah? She got her hands on her knees with her ass in the air Ooh, that lil' bitch a player If her friends ain't around to record it She bend over, shake that lil' ass in the mirror, like Goddamn, what a nigga gotta do for your number? Shawty came through with that head so good I said fuck it, I ain't usin' no rubber Way she make that ass bounce, think I love her Got that ass and that mouth from her mother Type to make your bae mad, you in trouble NBA playoffs that ass, it's a bubble Uh-uh (like), uh-uh, come here, come here, uh-uh Throw that ass back, come here, come here Her friends and mom hate me (Go) Lay down on the bed, do the crybaby (Go) She ain't gave me none of that pussy in a while She had the boy waitin', I don't mind waitin' Oh, you ain't gon' respond to my texts? (Oh, yeah?) Want me keep on my diamonds, we sex? (What's your name?) Ayy Real hot girl shit (ayy, ayy) Lay on my stomach, toot it up, do the crybaby (crybaby) Look back, hold it open, now he annihilated (yeah) Moaning like a bitch when he hit this pussy Damn, he probably wanna wear my hoodie (ah) Choke me, spank me, look at me, thank me (thank me) If I give it to another nigga, he'll hate me (he'll hate me) Spit, slurp, give him that work Fell too fast for me, now the nigga hurt Deeper, deeper, I need a reaper Thought I was in trouble how he tearin' them cheeks up Keep me a freak, who the flavor of the week? If I make up the rules, then I don't think it's cheatin' Jordan, Tommy, Timothy, Daniel (which one?) Might let Jonathan bring in Sarah (come here, Sarah) Bitch tryna brag about taking my man (huh?) Ha, I needed me a nigga off my hands (hahahaha) Uh-uh, don't fuck me like that, fuck me like this, yeah, ayy Uh, his friends and his dad hate me (yeah) I broke his lil' heart, he a crybaby (wah-wah-wah) If I ain't let him hit the pussy by now Then that nigga lame if he still waitin' (ah, ah, ah) I ain't even save your number (nope) So no, I can't reply to no text (no text) I make him cry 'bout the pussy, hmm Probably why my shit so wet (ah, ah, ah, ah, wah, wah, wah)"
He Be Like,KenTheMan,Sexually Explicit,"[Intro] Yeah Body smoking, marijuana, I get that shit from my mama He always asking do I love him? I always be tellin' him, ""Uh-uh"" He say that pussy so good that he wanna take off the condom I told him he pushing his luck, he better be happy I fucked him [Chorus] He be like Ooh, ooh, fuck, ooh, ooh Ooh, ooh, fuck, ooh He be like, ""Damn, you fine"" He be like, ""Damn, you thick"" He be like, ""Damn, you bad"" He be like, ""You that bitch, you that bitch"" Ooh, ooh, fuck, ooh, ooh Ooh, ooh, fuck, ooh He be like, ""Damn, you fine"" He be like, ""Damn, you thick"" He be like, ""Damn, you bad"" He be like, ""You that bitch"" [Verse 1] I don't be callin' him daddy or nothing Only if that nigga carrying something Dick so good, wanna put it on lock Like baby, we should go get married or something, look Fuck him real good in the front seat, backseat I ain't runnin', he ain't gotta catch me Pussy in his mouth, he gon' suck it like a paci' Bounce on it, drop on it, I do him nasty He say I'm fuckin' like them hoes on Ebony My pussy is his favorite recipe I tried to ask him how it taste But uh, right now I don't think he listening I be like, ""Dig in it, get in it"" So wet, wanna stay in it Waterpark, wanna play in it, ayy [Chorus] He be like, he be like Ooh, ooh, fuck, ooh, ooh Ooh, ooh, fuck, ooh He be like, ""Damn, you fine"" He be like, ""Damn, you thick"" He be like, ""Damn, you bad"" He be like, ""You that bitch, you that bitch"" Ooh, ooh, fuck, ooh, ooh Ooh, ooh, fuck, ooh He be like, ""Damn, you fine"" He be like, ""Damn, you thick"" He be like, ""Damn, you bad"" He be like, ""You that bitch"" [Verse 2] I don't compete with these bitches I don't share dick with these bitches Why I'm offending these bitches? I just want sex I just want neck from these niggas Don't really care for these niggas Your nigga wanna be down You lucky I'm turning him down, bitch I think he'd be with the shits You lucky I ain't give him rounds, bitch One taste and I bet you he ain't comin' back I be in his head, I be runnin' that And if he ain't tryna give me everything I'm the type to ask him where his daddy at And I'ma fuck on him, squirt on him Lick on him, suck on him Ooh, fuck, but I ain't never ever tryna love on him [Chorus] He be like Ooh, ooh, fuck, ooh, ooh Ooh, ooh, fuck, ooh He be like, ""Damn, you fine"" He be like, ""Damn, you thick"" He be like, ""Damn, you bad"" He be like, ""You that bitch, you that bitch"" Ooh, ooh, fuck, ooh, ooh Ooh, ooh, fuck, ooh He be like, ""Damn, you fine"" He be like, ""Damn, you thick"" He be like, ""Damn, you bad"" He be like, ""You that bitch"" [Outro] Body smoking, marijuana, I get that shit from my mama He always asking do I love him? I always be tellin' him, ""Uh-uh"" He say that pussy so good that he wanna take off the condom I told him he pushing his luck, he better be happy I fucked him"
Dont stop,Megan Thee Stallion,Sexually Explicit,"Real hot girl shit Ah, ayy (Buddah bless this beat) I've got a stank ass walk and a reckless ass mouth (I don't give a fuck) And my shit so tight, when we fuck, my pussy talk (my pussy talk) I don't even say, ""What's up?"" I just tell him what I want (what I want) 'Cause I got another nigga that's gon' do it if he don't (ah) Attitude bad, pussy too good (yeah) When he say, ""Fuck me"" I tell him, ""Fuck me good"" (good) Chase these niggas? I wish I would Bad bitch like me? Hoes wish they could (could) She a Casper to me, I need glasses to see In the mall with her daddy, she a bastard to me (yeah) If you ain't fuckin' him right, bitch, pass him to me Real niggas love me from the H to the D Don't stop, pop that cat Mm, mm, just like that Mm, mm, shake that shit (bow, bow, bow) Hm, hm, work it, bitch Don't stop, pop that cat (bow) Mm, mm, just like that Mm, mm, shake that shit (brr, brr, brr) Hm, hm, work it, bitch Patek, just for the day Say she got the gold, roll the Ace of Spades She catch a cold when she rock chains But lemme see, Pinky and the Brain (Brain) Our baby mommas ain't the same She like, ""Baby daddy, ice my chain"" (ice) She 'bout to come and give me top like a crane You a bitch and a ho, but you gang, ayy Shake what ya doctor gave ya And I'ma ice your wrists like a player (ayy) Doctor Miami add layers Now the ass is fat like a acre Come to the spot and we lay up And I'll cream that pussy like mayos Ever since I got my cake up I been runnin' these bitches like a mayor (whew) Don't stop, hatchback Shakin' that ass on Snapchat (yeah) Off the script and shakin' that ass What you'll do for these rack, racks? (Whew) Where my thots at? I just freed this bitch like a bird, yeah (yeah) Where my thots at? Let me hit it from the back, say, ""Slatt, Slatt"" Don't stop, pop that cat Mm, mm, just like that Mm, mm, shake that shit (bow, bow, bow) Hm, hm, work it, bitch Don't stop, pop that cat (bow) Mm, mm, just like that Mm, mm, shake that shit (brr, brr, brr) Hm, hm, work it, bitch (hey) I'm gonna blow him like AC (mwah) Give me big head like IT (ah) Lick, lick, lick me 'til I scream Twist his tongue like I, I mean I mean my body so out of this world Change my at name to ASTROGIRL (ASTROGIRL) People say I'm way too full of myself You're right, and I ain't even made it to dessert (ah) Buffy, no angels, star no spangle Forty inch weave by Kellon don't tangle Call my drug dealer boyfriend on Tango Use the Tajín when I'm eating a mango Yeah, I get jealous If you ate it real good I can't help it Any bitch you're fuckin' with, you need to dead it 'Fore I come through and shit get hectic, ah Don't stop, pop that cat Mm, mm, just like that Mm, mm, shake that shit (bow, bow, bow) Hm, hm, work it, bitch Don't stop, pop that cat Mm, mm, just like that Mm, mm, shake that shit Hm, hm, work it, bitch"
Jobs,City Girls,Sexually Explicit,"Haha, oh 'ight Give me a drop on the bass Nasty but classy (oww), Birkin bag me (bag me) Spend a couple thousands on my titties and my ass cheeks (period) Get my teeth done (haha), cash app me (app me) Sneak dissin' on the 'gram, bitch, at me (at me) Where my bad bitches lookin' for a athlete? (Where they at?) Fashion Nova dress and ain't wearing no panties (no) Dope boy, scam nigga, where they at? (Where they at?) I just seen a hundred bottles coming from the back, uh I'on work jobs, bitch, I am a job (period) You 'on't like it? Take a hike Pay me for a suck and slop (bitch) I'm a rich ass bitch with a attitude (haha) Pipe it down 'fore I whoop you like your mama do (period) I'on work jobs, bitch, I am a job (period) You 'on't like it? Take a hike Pay me for a suck and slop (bitch) I'm a rich ass bitch with a attitude (haha) Pipe it down 'fore I whoop you like your mama do (JT) This pussy talk to him (what's up?), it make him give it up (cash) It make him back-back, then spend racks in that Lam' truck (skrrt) I ain't got no time for niggas (I don't), I make 'em hold up (wait) When I walk past, these hoes mad, they nose up (what you mad for?) Got a nigga from Cuba, got more work than a tutor (hey papi) Pussy wet, make him dive like a scuba Off days, I rock Frank Muller, who fuelled ya? (Gassed you up) I'on work jobs, bitch, I work bitches Got them on the 'Gram, fake profile, stalking my pictures (period) Uh, I'on work jobs, bitch, I am a job (period) You 'on't like it? Take a hike Pay me for a suck and slop (bitch) I'm a rich ass bitch with a attitude (haha) Pipe it down 'fore I whoop you like your mama do (period) I'on work jobs, bitch, I am a job (period) You 'on't like it? Take a hike Pay me for a suck and slop (bitch) I'm a rich ass bitch with a attitude (haha) Pipe it down 'fore I whoop you like your mama do (period)"
